OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
2,Power Station,Wonthaggi Wind Farm,Renewable,Regional Wind Farms,Origin Energy,Graham Street,Wonthaggi,3995,VICTORIA,Operational,Wind Turbine,Wind,,12,6,22/03/2006,basscoast_2006mar22_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\wonthaggi_wind_farm.jpg,,11/09/2012,259650,
7,Power Station,Challicum Hills Wind Farm,Renewable,Pacific Hydro Challicum Hills Pty Ltd,Pacific Hydro Pty Ltd,Geelong Road,Buangor,3377,VICTORIA,Operational,Wind Turbine,Wind,,52.5,35,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\challicumhills_wind_farm.jpg,,11/09/2012,259597,
8,Power Station,Cape Bridgewater Wind Farm,Renewable,Pacific Hydro Portland Wind Farm Pty Ltd,Pacific Hydro Pty Ltd,Blowholes Road,Cape Bridgewater,3305,VICTORIA,Operational,Wind Turbine,Wind,,58,29,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\capebridgewater_wind_farm.jpg,,11/09/2012,259515,
15,Power Station,Banimboola Power Station,Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,Dartmouth Dam,Mitta Mitta River,3701,VICTORIA,Operational,Hydroelectric (Gravity),Water,,12.5,3,27/02/2005,alpine-fire-recovery_2005feb27_air_vis_65cm_mga55,31/07/2012,AEMO Generator List,,3, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\banimboola_hydro_p1.jpg,,11/09/2012,350841,
16,Power Station,Codrington Wind Farm,Renewable,,Energy Pacific (Victoria) Pty Ltd,Princes Highway,"Codrington, Port Fairy",3285,VICTORIA,Operational,Wind Turbine,Wind,,18.2,14,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\codrington_wind_farm.jpg,,11/09/2012,259431,
17,Power Station,Oakland Hills Wind Farm,Renewable,Oakland Hills Wind Farm Pty Ltd,AGL Energy Pty Ltd,,Glentompson,3293,VICTORIA,Under Construction,Wind Turbine,Wind,,67.2,32,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,3,Under construction - completion 2011,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\oaklandshill_wind_farm.jpg,,11/09/2012,,
18,Power Station,Shepparton Biogas Generation Plant Power Station,Renewable,Diamond Energy Pty Ltd,Diamond Energy Pty Ltd,,Shepparton,3631,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Sewage Methane,1.1,,1/11/2004,shepparton_2004nov01_air_vis_30cm_mga55,31/07/2012,AEMO Generator List,,5,Biogas (Sewage/Waste Water),NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\shepparton_pwr_stn.jpg,,11/09/2012,,
19,Power Station,Tatura Biogas Generation Plant Power Station,Renewable,Diamond Energy Pty Ltd,Diamond Energy Pty Ltd,,Tatura,3616,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Sewage Methane,1.1,,1/11/2004,shepparton_2004nov01_air_vis_30cm_mga55,31/07/2012,AEMO Generator List,,5,Biogas (Sewage/Waste Water),NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tatura_biogas_pwr_stn.jpg,,11/09/2012,436489,
20,Power Station,Waubra Wind Farm,Renewable,Pyrenees Wind Energy Developments,Acciona Energy Australia,,Waubra,3352,VICTORIA,Operational,Wind Turbine,Wind,,192,128,1/01/2003,pyrenees_2003jan01_air_vis_1m_mga54,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\waubra_wind_farm.jpg,,11/09/2012,259974,
21,Power Station,Yambuk Wind Farm,Renewable,,Energy Pacific (Victoria) Pty Ltd,,"Yambuk, Port Fairy",3285,VICTORIA,Operational,Wind Turbine,Wind,,30,20,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\yambuk_wind_farm.jpg,,11/09/2012,259636,
70,Power Station,Wyndham (Landfill) Power Station,Renewable,,LMS Energy,,Wyndham,3030,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1.1,1,20/10/2007,wyndham-hobsons-bay_2007oct20_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,3, ,,,11/09/2012,,
71,Power Station,Wollert (Landfill) Power Station,Renewable,,LMS Energy Generation Pty Ltd,,Wollert landfill,3750,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,4.4,2,3/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,,
73,Power Station,Toora Wind Farm,Renewable,RATCH-Australia,RATCH-Australia,,Toora,3962,VICTORIA,Operational,Wind Turbine,Wind,,21,12,14/01/2008,wellington-sth_2008jan14_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\toora_wind_farm.jpg,,11/09/2012,259516,
75,Power Station,Springvale (Landfill) Power Station,Renewable,,Energy Developments LFG (Victoria) Pty Ltd,,Springvale,3172,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,4.12,6,14/02/2007,kingston_2007feb14_air_vis_125mm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,,
79,Power Station,Loy Yang B Power Station,Non Renewable,,IPM Australia Limited,,Latrobe Valley,3844,VICTORIA,Operational,Steam Subcritical,Coal,Brown Coal,1000,2,19/02/2009,latrobe_2009feb19_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\loyyangb_pwr_stn.jpg,,11/09/2012,259197,
81,Power Station,Hallam Road (Landfill) Power Station,Renewable,,LMS Energy Generation Pty Ltd,,Hampton Park,3976,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,6.7,2,3/03/2006,casey_2006mar03_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,,
83,Power Station,Brooklyn (Landfill) Power Station,Renewable,,Energy Developments LFG (Victoria) Pty Ltd,,Brooklyn,3012,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2.8,2,24/01/2006,hobsonsbay_2006jan24_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\brooklyn_landfill_pwr_stn.jpg,,11/09/2012,,
84,Power Station,Berwick (Landfill) Power Plant,Renewable,,Energy Developments LFG (Victoria) Pty Ltd,,Berwick,3977,VICTORIA,Operational,Cogeneration - Spark Ignition Reciprocat,Biogas,Landfill Methane,4.6,2,3/03/2006,casey_2006mar03_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,3,Berwick Landfill is presumed to be Stevenson Road Landfill,,,11/09/2012,,
85,Power Station,Bairnsdale Power Station,Non Renewable,,Alinta DEBO,,Hillside,3875,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,94,2,16/08/2006,gippsland-lakes_2006aug16_air_vis_40cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bairnsdale_pwr_stn.jpg,,11/09/2012,259056,
86,Power Station,Broadmeadows (Landfill) Power Station,Renewable,,Energy Developments LFG (Victoria) Pty Ltd,,Campbellfield,3061,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,6.2,7,25/11/2007,hume_2007nov25_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5,Broadmeadows Landfill is presumed to be Bollinda Road Landfill,,,11/09/2012,,
87,Power Station,Clayton (Landfill) Power Station,Renewable,,Energy Developments LFG (Victoria) Pty Ltd,,Clayton South,3169,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,11,11,14/02/2007,kingston_2007feb14_air_vis_125mm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,,
88,Power Station,Eildon Power Station,Renewable,,AGL Energy Pty Ltd,,Eildon,3713,VICTORIA,Operational,Hydroelectric (Gravity),Water,,135,4,26/01/2007,murrindindi_2007jan26_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,5,"Generating Units 2x60, 2x7.5",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\eildon_hydro.jpg,,11/09/2012,259322,
